Address,Time,Temp (C),Humidity (%),Pressure (hPa),Soil (su)
255,"03/26/2021, 11:24:22",22.709999084472656,48.203125,997.25,348.0
255,"03/26/2021, 11:24:28",22.709999084472656,47.912109375,997.2337646484375,350.0
255,"03/26/2021, 11:24:36",22.700000762939453,47.8193359375,997.2647705078125,347.0
255,"03/26/2021, 11:24:43",22.709999084472656,47.71484375,997.2355346679688,346.0
255,"03/26/2021, 11:24:49",22.709999084472656,47.8544921875,997.2999267578125,348.0
255,"03/26/2021, 11:24:55",22.709999084472656,47.75,997.248779296875,349.0
255,"03/26/2021, 11:25:03",22.709999084472656,47.9130859375,997.2692260742188,346.0
255,"03/26/2021, 11:25:10",22.719999313354492,47.83203125,997.2459106445312,348.0
255,"03/26/2021, 11:25:17",22.729999542236328,48.158203125,997.2276611328125,347.0
255,"03/26/2021, 11:25:28",22.719999313354492,47.8212890625,997.21435546875,348.0
255,"03/26/2021, 11:25:36",22.729999542236328,47.7294921875,997.197998046875,349.0
255,"03/26/2021, 11:25:42",22.729999542236328,47.7392578125,997.27783203125,346.0
255,"03/26/2021, 11:25:57",22.75,48.1494140625,997.2394409179688,348.0
255,"03/26/2021, 11:26:38",22.739999771118164,47.7998046875,997.1815795898438,352.0
255,"03/26/2021, 11:27:40",22.75,47.591796875,997.21923828125,353.0
255,"03/26/2021, 11:28:42",22.770000457763672,47.7099609375,997.1632080078125,352.0
255,"03/26/2021, 11:29:47",22.790000915527344,47.7705078125,997.1687622070312,352.0
255,"03/26/2021, 11:30:50",22.809999465942383,47.564453125,997.14111328125,352.0
255,"03/26/2021, 11:31:56",22.75,47.6728515625,997.1288452148438,352.0
255,"03/26/2021, 11:33:02",22.760000228881836,47.6279296875,997.11328125,351.0
255,"03/26/2021, 11:34:05",22.709999084472656,47.947265625,997.0700073242188,351.0
255,"03/26/2021, 11:35:09",22.809999465942383,47.6455078125,997.0257568359375,352.0
255,"03/26/2021, 11:36:11",22.860000610351562,47.6162109375,997.0873413085938,350.0
255,"03/26/2021, 11:37:14",22.829999923706055,47.51953125,997.0680541992188,351.0
255,"03/26/2021, 11:38:18",22.809999465942383,47.4482421875,997.0187377929688,352.0
255,"03/26/2021, 11:39:20",22.739999771118164,47.6142578125,997.0067138671875,350.0
255,"03/26/2021, 11:40:22",22.739999771118164,47.7412109375,996.9464111328125,351.0
255,"03/26/2021, 11:41:25",22.739999771118164,47.7412109375,996.9515380859375,350.0
